Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89
195212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.175,11.473,14.442,12.023,17.534,19.978,16.694,11.626,14.23,15.985,19.15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,19.129,20.259,19.032,16.965,73.461,6064.85,6830.258,4029.887,3275.114,19716.771,197.5,60,5065.161,12.838,2.756,12.564,3.163,138,25800.418,2199.651,2723.783,103.789,-16.119,-42.37,-0.222,0.064,-0.343,0.065,-999,-0.225,-0.669,0.151,0.292,-999,0.053,1.508,11.904,-4.472,10.599,11.981,28,3,0
195301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.738,12.602,13.163,11.752,14.908,13.974,14.186,11.499,14.033,13.88,14.853,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,19.069,19.774,18.35,15.822,71.192,4707.322,5332.154,5403.76,3411.029,18368.701,280,67.5,4980.484,10.397,2.524,8.927,1.697,156,25851.164,2048.036,2528.969,75.653,-15.818,-41.518,-0.193,0.042,-0.591,-0.395,0.126,0.02,-0.189,-0.104,-0.061,-999,-1.687,0.427,12.351,0.097,10.948,11.931,23,8,0
195302,2.74,0,0,0,2.74,0,0,0,0,0,2.74,37.332,0,0,0,37.332,0,0,0,0,0,37.332,17.256,13.598,14.803,13.711,17.016,15.489,17.521,11.845,13.815,16.133,17.256,19.337,-999,-999,-999,18.979,-999,-999,-999,-999,-999,19.337,135.722,19.231,19.131,19.455,17.631,73.524,5336.279,6678.02,5976.581,3835.53,21282.184,357.5,90,4946.893,8.434,3.661,8.46,5.042,151.5,25674.713,2204.1,2786.879,99.217,2.189,-40.581,0.093,0.237,-0.564,0.438,-0.327,-0.053,0.214,0.522,-0.113,-999,-1.932,-0.073,11.133,2.145,8.894,7.865,15,13,0
195303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.727,14.313,14.804,17.241,15.138,12.578,17.477,12.255,13.622,15.114,13.899,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,19.283,19.767,19.455,13.759,70.232,5404.364,5478.167,4926.461,3388.438,18657.008,67.5,82.5,4889.613,12.538,4.137,13.492,1.702,148,26493,2284.351,2844.639,116.287,12.112,-27.971,0.308,-0.226,0.372,0.021,-0.75,0.516,-999,0.813,-0.271,-999,-0.319,1.261,4.015,-0.104,9.832,8.503,9,22,0
195304,0.875,0,0,0,0.875,0,0,0,0,0,0.875,10.017,0,0,0,10.017,0,0,0,0,0,10.017,19.995,14.043,14.618,14.864,15.78,17.422,16.268,13.569,14.841,15.126,19.995,21.813,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.813,157.793,15.342,19.931,17.766,12.662,64.134,2532.26,3752.317,2136.789,2046.531,10204.042,70,85,5153.5,6.941,4.761,5.598,4.093,162,26586.9,2328.561,2953.44,113.076,-18.838,-44.703,-0.539,0.313,0.044,-0.412,0.233,-0.503,-999,-0.201,-0.255,-999,1.908,3.232,-2.021,2.215,8.854,7.235,30,0,0
195305,4.612,1.771,2.443,0,0.658,1.364,0,0.524,0,0.821,2.169,52.461,20.677,28.049,0,7.229,15.542,0,5.678,0,9.125,24.412,18.539,17.325,16.447,17.798,17.5,22.771,20.289,15,13.779,15.05,21.285,19.975,19.095,18.074,-999,17.807,24.704,-999,15.958,-999,16.341,22.403,158.195,16.785,20.259,18.325,14.118,67.501,2152.07,3009.298,2683.922,1745.432,9374.973,177.5,55,5291.871,8.781,1.891,8.778,2.55,162,27092.711,2427.122,3198.23,101.661,-9.066,-27.31,-0.413,0.506,-0.596,0.01,-0.09,-0.303,-999,-0.418,-0.067,-999,2.769,4.143,-2.325,1.484,7.65,7.522,25,6,0
195306,37.42,9.713,25.722,0,7.099,4.975,8.385,6.69,0,16.377,12.289,749.243,249.38,555.616,0,151.116,63.288,179.152,110.764,0,314.477,217.001,24.672,21.311,25.478,27.91,23.231,24.108,29.568,28.437,20.374,28.522,23.288,28.79,26.253,29.92,-999,27.438,26.85,33.749,32.429,-999,32.733,27.012,126.18,17.314,19.184,16.485,12.762,63.819,1708.578,2042.373,2944.433,986.371,7460.104,265,77.5,5329.567,4.672,2.903,6.578,2.063,159,27785.934,2476.578,3331.301,51.896,3.931,-14.034,0.307,-0.218,-0.404,0.089,0.412,0.003,-999,-0.457,0.452,-999,2.886,3.767,-1.567,2.687,10.06,12.265,28,2,0
195307,49.665,12.009,36.368,0,2.146,11.314,13.85,9.072,0,25.049,13.794,1532.071,416.78,1245.496,0,39.338,265.897,469.491,312.474,0,852.011,313.51,29.794,28.477,29.464,31.917,27.002,29.811,29.963,30.986,28.206,30.107,30.24,37.176,34.792,37.922,-999,-999,35.586,39.944,41.131,-999,40.326,35.585,164.556,15.061,16.48,15.318,14.632,59.969,1107.993,1688.569,2323.698,2031.18,6971.721,222.5,85,5378,7.364,2.449,5.486,2.003,130.5,28536.451,2531.501,3444.258,63.261,3.872,-36.617,0.098,0.003,0.096,-0.045,0.025,-0.056,-999,-0.134,-0.331,-999,2.741,3.18,-0.283,1.07,9.967,12.388,31,0,0
195308,43.708,9.232,32.089,0,4.353,7.527,12.987,8.507,0,23.53,12.086,1192.819,285.675,1004.636,0,78.091,126.169,372.929,299.058,0,741.342,206.523,28.498,28.194,29.335,30.835,28.949,24.659,28.818,31.608,35.285,29.906,27.4,34.573,35.693,37.633,-999,31.279,28.24,38.355,39.324,-999,38.829,30.758,137.863,16.148,15.72,15.623,13.194,59.179,1909.388,2347.342,2518.419,1798.001,8358.619,230,85,5347.129,8.489,3.67,7.7,2.918,152.5,28466.16,2543.257,3474.757,38.498,2.208,-12.011,-0.213,-0.207,-0.216,0.332,0.233,-0.089,-999,-0.404,0.183,0.137,3.898,4.371,-2.981,1.371,10.665,13.167,31,0,0
195309,18.589,5.231,13.774,0,3.94,1.183,4.559,3.578,0,8.616,5.123,332.658,86.503,246.803,0,72.91,18.908,80.524,71.21,0,161.055,91.818,28.164,24.018,27.701,24.067,27.796,25.905,30.308,31.152,24.954,30.28,28.626,32.018,28.116,31.589,-999,31.666,29.842,33.939,34.983,-999,33.926,32.533,137.429,16.508,16.886,16.888,15.7,64.219,3147.24,3125.469,3568.258,2812.847,12329.775,55,87.5,5225.967,12.767,2.407,12.918,2.019,128,28049.633,2526.128,3389.546,71.477,5.587,-15.024,0.023,-0.219,0.01,-0.137,0.128,0.32,-999,0.423,0.012,-0.084,3.956,5.023,-3.379,1.859,10.389,10.905,29,1,0
195310,4.156,0,0,0,2.54,1.266,0,0,0,0,4.156,72.488,0,0,0,44.019,21.617,0,0,0,0,72.488,25.437,19.438,20.393,19.699,21.312,25.808,19.508,24.134,21.062,21.129,25.437,28.77,-999,-999,-999,-999,28.419,-999,-999,-999,-999,28.77,158.834,20.04,19.465,16.416,14.069,68.013,4839.751,5431.933,4738.328,2720.215,17239.068,285,75,5124.742,12.779,4.36,14.832,2.863,148,27301,2422.597,3116.078,121.932,-5.392,-31.802,0.575,0.388,-0.117,0.185,-0.071,0.119,-999,-0.081,0.345,-999,3.233,4.666,0.682,0.104,10.129,10.377,28,3,0
195311,6.605,0.366,0.366,0.219,4.455,1.061,0,0,0,0,5.873,105.166,4.246,4.246,2.411,75.028,15.706,0,0,0,0,96.741,22.284,19.918,19.918,19.645,21.639,24.909,18.005,14.852,18.55,16.607,22.663,24.794,21.306,21.306,20.525,23.715,27.236,-999,-999,-999,-999,25.589,125.532,20.259,20.043,17.62,15.375,71.323,5159.235,6436.524,4685.438,3079.486,18815.703,290,75,5027.367,10.953,3.124,9.831,2.932,144.5,26189.766,2300.29,2911.152,113.193,-4.579,-21.703,0.323,0.387,0.049,0.004,-0.485,-0.07,-999,-0.241,0.2,-999,0.265,2.984,8.201,-1.071,12.198,12.458,24,6,0
195312,0.437,0,0,0,0.437,0,0,0,0,0,0.437,5.005,0,0,0,5.005,0,0,0,0,0,5.005,20,12.64,14.716,14.572,18.239,17.75,18.378,13.668,13.544,16.474,20,21.006,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.006,158.254,19.445,19.293,19.231,13.874,69.869,5726.827,6534.876,6774.696,2520.697,20998.119,290,70,4890.936,11.186,4.473,12.981,4.796,138.5,26118.742,2235.025,2801.309,94.882,5.433,-33.415,0.382,0.052,-0.201,0.369,-999,0.463,0.337,0.534,0.232,-999,-1.015,2.387,15.788,-0.755,11.384,10.664,14,17,0
195401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.526,13.487,14.604,13.195,16.222,12.864,18.268,11.535,14.412,15.537,14.733,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,20.259,20.205,19.022,17.42,74.928,5841.037,4742.191,5969.098,3369.705,19376.24,280,67.5,4941.419,8.972,3.274,10.936,3.048,141.5,25673.967,1998.852,2436.362,62.063,6.033,-20.541,0.007,-0.631,-0.484,-0.189,-0.08,0.241,-0.089,0.137,0.178,-999,-3.275,0.796,12.857,2.615,12.443,13.029,18,13,0
195402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,12.986,12.609,13.088,13.988,14.334,12.569,10.405,13.261,12.077,14.548,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,20.259,19.56,18.646,19.351,75.84,6015.732,6631.803,6245.86,3754.372,22057.475,240,77.5,4895.286,9.825,4.194,12.653,3.64,160.5,26204.713,2164.709,2665.923,92.799,-1.976,-16.999,0.234,-0.396,-0.433,-0.186,-0.636,-0.119,-0.098,0.391,0.46,-999,-3.081,0.797,10.895,3.299,10.788,11.939,19,9,0
195403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.131,12.349,14.012,12.83,15.752,12.85,16.763,11.966,14.539,15.996,14.538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,18.912,18.805,20.095,18.741,74.474,5684.87,4585.755,5423.169,3342.481,18517.191,107.5,80,4931.613,12.588,2.85,13.933,3.705,140.5,26197.871,2236.394,2804.144,91.417,10.009,-37.394,-0.097,-0.452,0.184,-0.012,0.14,0.204,-999,0.638,0.133,-999,-4.091,0.556,6.496,1.9,10.49,10.024,24,7,0
195404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,15.106,14.791,16.121,17.217,14.05,16.629,11.599,14.587,14.42,15.641,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,17.091,17.568,17.727,14.248,64.957,3083.909,2554.17,4110.358,1988.082,11437.63,62.5,85,5148.833,9.603,2.997,10.431,2.93,138.5,27029.398,2332.351,3006.701,99.93,8.423,-29.164,0.354,-0.73,-0.563,-0.29,0.247,-0.034,-999,-0.068,-0.186,-999,-2.769,1.392,4.309,2.171,11.384,13.059,27,3,0
195405,0.14,0,0,0,0.14,0,0,0,0,0,0.14,1.499,0,0,0,1.499,0,0,0,0,0,1.499,-999,18.275,16.931,21.388,21.969,16.988,15.676,15.65,19.894,15.72,-999,25.258,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.258,0,18.843,19.617,18.395,13.591,68.717,3071.658,3301.124,1992.746,951.741,9079.406,172.5,55,5310.936,6.509,2.642,8.527,2.698,153,27101.549,2395,3117.054,72.793,-12.479,-8.096,-0.268,0.537,-0.612,0.579,0.216,-0.804,-999,-0.854,0.291,-999,-1.833,2.06,-0.136,3.488,10.899,12.971,29,2,0
